np_id,np_smi,chem_id,chem_smi,standard,pvalue,Assay_ChEMBL_ID,Confidence_Score,Assay_Type,target_id,target_name,target_organism
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2058412,CN1C(=N)N/C(=C\c2c[nH]c3ccc(Br)cc23)C1=O,IC50,6.49,CHEMBL2060936,9,B,CHEMBL1951,Monoamine oxidase A,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2058412,CN1C(=N)N/C(=C\c2c[nH]c3ccc(Br)cc23)C1=O,IC50,5.37,CHEMBL2060937,9,B,CHEMBL2039,Monoamine oxidase B,Homo sapiens
LTS0036677,Cc1cc(=O)oc2cc(O)ccc12,CHEMBL589883,Cc1c(Cl)c(=O)oc2cc(O)ccc12,IC50,7.0,CHEMBL1068436,9,B,CHEMBL4234,Estradiol 17-beta-dehydrogenase 3,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL447448,O=C(O)c1cc(Br)cc(Br)c1O,Ki,7.09,CHEMBL980734,9,B,CHEMBL5847,Aldo-keto reductase family 1 member C2,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL447448,O=C(O)c1cc(Br)cc(Br)c1O,Ki,4.64,CHEMBL980735,9,B,CHEMBL4681,Aldo-keto-reductase family 1 member C3,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL447448,O=C(O)c1cc(Br)cc(Br)c1O,Ki,4.34,CHEMBL980736,9,B,CHEMBL4999,Aldo-keto reductase family 1 member C4,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL447448,O=C(O)c1cc(Br)cc(Br)c1O,Ki,8.05,CHEMBL980733,9,B,CHEMBL5905,Aldo-keto reductase family 1 member C1,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL447448,O=C(O)c1cc(Br)cc(Br)c1O,IC50,5.64,CHEMBL968790,9,B,CHEMBL5905,Aldo-keto reductase family 1 member C1,Homo sapiens
LTS0113417,Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1,CHEMBL120278,Oc1cc2c(cc1O)C(Cc1cc(I)c(I)c(I)c1)NCC2,Ki,4.22,CHEMBL857876,9,B,CHEMBL2069,Thromboxane A2 receptor,Homo sapiens
LTS0113417,Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1,CHEMBL120278,Oc1cc2c(cc1O)C(Cc1cc(I)c(I)c(I)c1)NCC2,Ki,8.82,CHEMBL650854,9,B,CHEMBL210,Beta-2 adrenergic receptor,Homo sapiens
LTS0036798,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,CHEMBL590878,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1.[Cl-],IC50,8.29,CHEMBL3870505,9,B,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens
LTS0036798,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,CHEMBL590878,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1.[Cl-],IC50,5.19,CHEMBL4700551,9,B,CHEMBL6152,Alpha-synuclein,Homo sapiens
LTS0036798,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,CHEMBL590878,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1.[Cl-],IC50,5.72,CHEMBL1251073,9,B,CHEMBL2424,Glyoxalase I,Homo sapiens
LTS0036798,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,CHEMBL590878,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1.[Cl-],IC50,8.2,CHEMBL3870506,9,B,CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL1375,O=C(O)c1cc(Cl)ccc1O,Ki,5.38,CHEMBL1002072,9,B,CHEMBL261,Carbonic anhydrase I,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL1375,O=C(O)c1cc(Cl)ccc1O,IC50,5.39,CHEMBL1002069,9,B,CHEMBL261,Carbonic anhydrase I,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL1375,O=C(O)c1cc(Cl)ccc1O,IC50,6.14,CHEMBL1002070,9,B,CHEMBL205,Carbonic anhydrase II,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL1375,O=C(O)c1cc(Cl)ccc1O,Ki,5.9,CHEMBL1002075,9,B,CHEMBL205,Carbonic anhydrase II,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442277,CN1C(=N)N/C(=C/c2c[nH]c3c(Br)cccc23)C1=O,Ki,5.0,CHEMBL2445945,9,B,CHEMBL225,Serotonin 2c (5-HT2c) receptor,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442277,CN1C(=N)N/C(=C/c2c[nH]c3c(Br)cccc23)C1=O,Ki,5.81,CHEMBL2445942,9,B,CHEMBL3426,Serotonin 5a (5-HT5a) receptor,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442277,CN1C(=N)N/C(=C/c2c[nH]c3c(Br)cccc23)C1=O,Ki,6.23,CHEMBL2445946,9,B,CHEMBL1833,Serotonin 2b (5-HT2b) receptor,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442277,CN1C(=N)N/C(=C/c2c[nH]c3c(Br)cccc23)C1=O,Ki,5.14,CHEMBL2445951,9,B,CHEMBL214,Serotonin 1a (5-HT1a) receptor,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL4086963,O=c1cc(-c2cccc(Br)c2)oc2c1ccc1ccccc12,IC50,7.58,CHEMBL4004375,9,B,CHEMBL4105977,Carboxylic ester hydrolase,Sus scrofa
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL511879,CN1C(=N)N/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,Ki,5.27,CHEMBL2445942,9,B,CHEMBL3426,Serotonin 5a (5-HT5a) receptor,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL511879,CN1C(=N)N/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,IC50,4.18,CHEMBL1012213,9,B,CHEMBL4414,Plasmepsin 2,Plasmodium falciparum
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL511879,CN1C(=N)N/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,IC50,4.28,CHEMBL1012212,9,B,CHEMBL4414,Plasmepsin 2,Plasmodium falciparum
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL511879,CN1C(=N)N/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,Ki,5.38,CHEMBL2445947,9,B,CHEMBL322,Serotonin 2a (5-HT2a) receptor,Rattus norvegicus
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL511879,CN1C(=N)N/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,Ki,6.72,CHEMBL2445946,9,B,CHEMBL1833,Serotonin 2b (5-HT2b) receptor,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL511879,CN1C(=N)N/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,Ki,5.64,CHEMBL1012215,9,B,CHEMBL225,Serotonin 2c (5-HT2c) receptor,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL511879,CN1C(=N)N/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,Ki,5.72,CHEMBL2445945,9,B,CHEMBL225,Serotonin 2c (5-HT2c) receptor,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL368236,O=c1cc(-c2cccc(Cl)c2)oc2c1ccc1ccccc12,IC50,7.13,CHEMBL4380059,9,A,CHEMBL3356,Cytochrome P450 1A2,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL368236,O=c1cc(-c2cccc(Cl)c2)oc2c1ccc1ccccc12,IC50,8.28,CHEMBL4380058,9,A,CHEMBL2231,Cytochrome P450 1A1,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL368236,O=c1cc(-c2cccc(Cl)c2)oc2c1ccc1ccccc12,IC50,8.16,CHEMBL4004375,9,B,CHEMBL4105977,Carboxylic ester hydrolase,Sus scrofa
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL368236,O=c1cc(-c2cccc(Cl)c2)oc2c1ccc1ccccc12,IC50,9.31,CHEMBL4380057,9,B,CHEMBL4878,Cytochrome P450 1B1,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL436080,O=c1cc(-c2cccc(F)c2)oc2c1ccc1ccccc12,IC50,7.78,CHEMBL4380058,9,A,CHEMBL2231,Cytochrome P450 1A1,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL436080,O=c1cc(-c2cccc(F)c2)oc2c1ccc1ccccc12,IC50,5.24,CHEMBL827974,9,B,CHEMBL3142,DNA-dependent protein kinase,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL436080,O=c1cc(-c2cccc(F)c2)oc2c1ccc1ccccc12,IC50,8.66,CHEMBL4380057,9,B,CHEMBL4878,Cytochrome P450 1B1,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL436080,O=c1cc(-c2cccc(F)c2)oc2c1ccc1ccccc12,IC50,8.28,CHEMBL4004375,9,B,CHEMBL4105977,Carboxylic ester hydrolase,Sus scrofa
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL436080,O=c1cc(-c2cccc(F)c2)oc2c1ccc1ccccc12,IC50,7.21,CHEMBL4380059,9,A,CHEMBL3356,Cytochrome P450 1A2,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL359819,O=c1cc(-c2ccc(F)cc2)oc2c1ccc1ccccc12,IC50,8.17,CHEMBL4380058,9,A,CHEMBL2231,Cytochrome P450 1A1,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL359819,O=c1cc(-c2ccc(F)cc2)oc2c1ccc1ccccc12,IC50,7.92,CHEMBL4380059,9,A,CHEMBL3356,Cytochrome P450 1A2,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL359819,O=c1cc(-c2ccc(F)cc2)oc2c1ccc1ccccc12,IC50,8.57,CHEMBL4380057,9,B,CHEMBL4878,Cytochrome P450 1B1,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL359819,O=c1cc(-c2ccc(F)cc2)oc2c1ccc1ccccc12,IC50,7.7,CHEMBL4004375,9,B,CHEMBL4105977,Carboxylic ester hydrolase,Sus scrofa
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL359819,O=c1cc(-c2ccc(F)cc2)oc2c1ccc1ccccc12,IC50,6.21,CHEMBL4480587,9,B,CHEMBL3649,Xanthine dehydrogenase,Bos taurus
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL4099439,O=c1cc(-c2ccccc2Br)oc2c1ccc1ccccc12,IC50,7.96,CHEMBL4004375,9,B,CHEMBL4105977,Carboxylic ester hydrolase,Sus scrofa
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL4099439,O=c1cc(-c2ccccc2Br)oc2c1ccc1ccccc12,IC50,4.78,CHEMBL4480587,9,B,CHEMBL3649,Xanthine dehydrogenase,Bos taurus
LTS0113417,Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1,CHEMBL121964,Oc1cc2c(cc1O)C(Cc1cc(I)c(O)c(I)c1)NCC2,Ki,7.93,CHEMBL650854,9,B,CHEMBL210,Beta-2 adrenergic receptor,Homo sapiens
LTS0113417,Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1,CHEMBL121964,Oc1cc2c(cc1O)C(Cc1cc(I)c(O)c(I)c1)NCC2,Ki,4.72,CHEMBL857876,9,B,CHEMBL2069,Thromboxane A2 receptor,Homo sapiens
LTS0036677,Cc1cc(=O)oc2cc(O)ccc12,CHEMBL609568,Cc1c(F)c(=O)oc2cc(O)ccc12,IC50,6.0,CHEMBL1068436,9,B,CHEMBL4234,Estradiol 17-beta-dehydrogenase 3,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL4062213,O=c1cc(-c2ccc(F)c(F)c2)oc2c1ccc1ccccc12,IC50,7.85,CHEMBL4004375,9,B,CHEMBL4105977,Carboxylic ester hydrolase,Sus scrofa
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL4062213,O=c1cc(-c2ccc(F)c(F)c2)oc2c1ccc1ccccc12,IC50,7.54,CHEMBL4380059,9,A,CHEMBL3356,Cytochrome P450 1A2,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL4062213,O=c1cc(-c2ccc(F)c(F)c2)oc2c1ccc1ccccc12,IC50,8.25,CHEMBL4380057,9,B,CHEMBL4878,Cytochrome P450 1B1,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL4062213,O=c1cc(-c2ccc(F)c(F)c2)oc2c1ccc1ccccc12,IC50,7.93,CHEMBL4380058,9,A,CHEMBL2231,Cytochrome P450 1A1,Homo sapiens
LTS0116548,O=C(O)c1ccccc1O,CHEMBL1233461,O=C(O)c1c(Cl)ccc(Cl)c1O,IC50,8.15,CHEMBL3074800,9,B,CHEMBL284,Dipeptidyl peptidase IV,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL361608,O=c1cc(-c2ccccc2F)oc2c1ccc1ccccc12,IC50,5.07,CHEMBL827974,9,B,CHEMBL3142,DNA-dependent protein kinase,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL361608,O=c1cc(-c2ccccc2F)oc2c1ccc1ccccc12,IC50,8.49,CHEMBL4004375,9,B,CHEMBL4105977,Carboxylic ester hydrolase,Sus scrofa
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL361608,O=c1cc(-c2ccccc2F)oc2c1ccc1ccccc12,IC50,8.48,CHEMBL4380057,9,B,CHEMBL4878,Cytochrome P450 1B1,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL361608,O=c1cc(-c2ccccc2F)oc2c1ccc1ccccc12,IC50,7.91,CHEMBL4380058,9,A,CHEMBL2231,Cytochrome P450 1A1,Homo sapiens
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL361608,O=c1cc(-c2ccccc2F)oc2c1ccc1ccccc12,IC50,5.31,CHEMBL4480587,9,B,CHEMBL3649,Xanthine dehydrogenase,Bos taurus
LTS0046466,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL361608,O=c1cc(-c2ccccc2F)oc2c1ccc1ccccc12,IC50,7.75,CHEMBL4380059,9,A,CHEMBL3356,Cytochrome P450 1A2,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442275,CN1C(=N)N/C(=C/c2c[nH]c3cccc(Br)c23)C1=O,Ki,6.64,CHEMBL2445946,9,B,CHEMBL1833,Serotonin 2b (5-HT2b) receptor,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442275,CN1C(=N)N/C(=C/c2c[nH]c3cccc(Br)c23)C1=O,Ki,5.77,CHEMBL2445945,9,B,CHEMBL225,Serotonin 2c (5-HT2c) receptor,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442275,CN1C(=N)N/C(=C/c2c[nH]c3cccc(Br)c23)C1=O,Ki,5.46,CHEMBL2445951,9,B,CHEMBL214,Serotonin 1a (5-HT1a) receptor,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442275,CN1C(=N)N/C(=C/c2c[nH]c3cccc(Br)c23)C1=O,Ki,5.89,CHEMBL2445942,9,B,CHEMBL3426,Serotonin 5a (5-HT5a) receptor,Homo sapiens
LTS0034883,CN1C(=N)N/C(=C/c2c[nH]c3ccccc23)C1=O,CHEMBL2442275,CN1C(=N)N/C(=C/c2c[nH]c3cccc(Br)c23)C1=O,Ki,5.06,CHEMBL2445947,9,B,CHEMBL322,Serotonin 2a (5-HT2a) receptor,Rattus norvegicus
LTS0117555,COc1cc(/C=C/C(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CHEMBL3290186,COc1cc(/C=C/C(=O)/C=C/c2cc(F)c(O)c(OC)c2)cc(F)c1O,IC50,4.71,CHEMBL3295140,9,B,CHEMBL4026,Signal transducer and activator of transcription 3,Homo sapiens
LTS0117555,COc1cc(/C=C/C(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CHEMBL3290186,COc1cc(/C=C/C(=O)/C=C/c2cc(F)c(O)c(OC)c2)cc(F)c1O,EC50,5.51,CHEMBL3295141,9,B,CHEMBL1075094,Nuclear factor erythroid 2-related factor 2,Homo sapiens
LTS0117555,COc1cc(/C=C/C(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CHEMBL3290186,COc1cc(/C=C/C(=O)/C=C/c2cc(F)c(O)c(OC)c2)cc(F)c1O,IC50,5.09,CHEMBL3295128,9,B,CHEMBL215,Arachidonate 5-lipoxygenase,Homo sapiens
LTS0117555,COc1cc(/C=C/C(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CHEMBL3290186,COc1cc(/C=C/C(=O)/C=C/c2cc(F)c(O)c(OC)c2)cc(F)c1O,IC50,6.22,CHEMBL3295127,9,B,CHEMBL215,Arachidonate 5-lipoxygenase,Homo sapiens
LTS0036677,Cc1cc(=O)oc2cc(O)ccc12,CHEMBL2205240,Cc1cc(=O)oc2cc(O)c(Cl)cc12,Ki,5.28,CHEMBL4705995,9,B,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens
LTS0036677,Cc1cc(=O)oc2cc(O)ccc12,CHEMBL2205240,Cc1cc(=O)oc2cc(O)c(Cl)cc12,IC50,4.54,CHEMBL4705995,9,B,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens
LTS0048997,CC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL2409344,CC[C@@H]1N[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O.Cl,IC50,4.14,CHEMBL2412771,9,B,CHEMBL3545,Alpha-L-fucosidase 1,Bos taurus
LTS0258099,COc1cc2c3cc1Oc1c(O)c(OC)cc4c1[C@@H](Cc1ccc(O)c(c1)Oc1ccc(cc1)C[C@@H]3N(C)CC2)N(C)CC4,CHEMBL443953,COc1ccc2cc1Oc1ccc(cc1)C[C@@H]1c3c(cc(OC)c(O)c3Oc3cc4c(cc3OC)CCN(C)[C@H]4C2)CCN1C.Cl,IC50,4.18,CHEMBL997481,9,B,CHEMBL339,Dopamine D2 receptor,Rattus norvegicus
LTS0258099,COc1cc2c3cc1Oc1c(O)c(OC)cc4c1[C@@H](Cc1ccc(O)c(c1)Oc1ccc(cc1)C[C@@H]3N(C)CC2)N(C)CC4,CHEMBL443953,COc1ccc2cc1Oc1ccc(cc1)C[C@@H]1c3c(cc(OC)c(O)c3Oc3cc4c(cc3OC)CCN(C)[C@H]4C2)CCN1C.Cl,IC50,4.81,CHEMBL997480,9,B,CHEMBL265,Dopamine D1 receptor,Rattus norvegicus
LTS0043842,COc1cc2c3cc1Oc1c(O)c(OC)cc4c1[C@H](Cc1ccc(cc1)Oc1cc(ccc1O)C[C@H]3N(C)CC2)N(C)CC4,CHEMBL443953,COc1ccc2cc1Oc1ccc(cc1)C[C@@H]1c3c(cc(OC)c(O)c3Oc3cc4c(cc3OC)CCN(C)[C@H]4C2)CCN1C.Cl,IC50,4.18,CHEMBL997481,9,B,CHEMBL339,Dopamine D2 receptor,Rattus norvegicus
LTS0043842,COc1cc2c3cc1Oc1c(O)c(OC)cc4c1[C@H](Cc1ccc(cc1)Oc1cc(ccc1O)C[C@H]3N(C)CC2)N(C)CC4,CHEMBL443953,COc1ccc2cc1Oc1ccc(cc1)C[C@@H]1c3c(cc(OC)c(O)c3Oc3cc4c(cc3OC)CCN(C)[C@H]4C2)CCN1C.Cl,IC50,4.81,CHEMBL997480,9,B,CHEMBL265,Dopamine D1 receptor,Rattus norvegicus
